Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
GJ Bailey (AUS),2013-2016,13,12,2,710,156,71.00,643,110.41,2,4,0,58,18
Q de Kock (SA),2013-2018,12,12,0,774,135,64.50,840,92.14,5,1,0,91,8
G Kirsten (SA),1995-2001,26,26,4,1377,133*,62.59,1797,76.62,4,9,1,122,3
JH Kallis (SA),1996-2013,37,34,9,1535,119*,61.40,2121,72.37,2,11,2,127,10
F du Plessis (SA),2011-2018,13,13,2,658,133*,59.81,712,92.41,2,5,0,52,10
MEK Hussey (AUS),2004-2012,21,19,6,770,81*,59.23,848,90.80,0,7,0,58,5
CG Greenidge (WI),1979-1989,24,23,3,1181,117,59.05,1676,70.46,3,8,1,81+,33+
RR Sarwan (WI),2001-2013,31,31,9,1296,115*,58.90,1713,75.65,1,11,0,91,17
TWM Latham (NZ),2016-2019,13,12,2,583,103*,58.30,644,90.52,1,4,0,48,7
JE Root (ENG),2013-2018,17,15,3,684,113*,57.00,804,85.07,3,3,0,62,6
JP Faulkner (AUS),2013-2017,16,12,6,327,116,54.50,246,132.92,1,1,1,21,16
ML Hayden (AUS),1994-2008,28,28,1,1450,126,53.70,1685,86.05,3,10,2,146,18
BA Edgar (NZ),1979-1986,12,12,3,473,99*,52.55,872,54.24,0,4,0,27,1
Salman Butt (PAK),2004-2010,21,21,2,992,129*,52.21,1193,83.15,5,2,3,129,4
AD Mathews (SL),2009-2017,39,36,11,1280,139*,51.20,1512,84.65,2,8,1,104,23
Javed Miandad (PAK),1978-1996,35,34,11,1175,119*,51.08,1622,72.44,3,6,2,62+,11+
Zaheer Abbas (PAK),1978-1985,13,12,0,612,118,51.00,630,97.14,3,1,0,40+,8+
SPD Smith (AUS),2010-2017,14,12,0,609,149,50.75,620,98.22,2,3,0,58,7
AJ Lamb (ENG),1982-1990,15,15,4,556,99,50.54,711,78.19,0,4,1,33,5
RA Smith (ENG),1989-1993,10,10,0,505,129,50.50,696,72.55,2,2,1,49,7
MG Bevan (AUS),1994-2004,35,31,9,1081,101*,49.13,1426,75.80,1,5,0,68,3
Mohammad Hafeez (PAK),2005-2017,11,11,1,486,105,48.60,588,82.65,1,3,1,44,8
AB de Villiers (SA),2005-2018,32,32,4,1357,119,48.46,1221,111.13,6,5,1,118,41
Shoaib Malik (PAK),2000-2018,41,41,4,1782,143,48.16,2014,88.48,4,11,0,174,20
IVA Richards (WI),1979-1989,31,26,5,997,149,47.47,1002,99.50,3,2,0,84+,24+
DC Boon (AUS),1986-1995,29,29,3,1212,111,46.61,1761,68.82,2,7,1,108,2
SE Marsh (AUS),2009-2019,11,11,0,508,131,46.18,599,84.80,2,3,1,39,6
BM McMillan (SA),1991-1996,17,10,6,183,48*,45.75,217,84.33,0,0,0,14,3
KP Pietersen (ENG),2006-2013,28,28,3,1138,111*,45.52,1323,86.01,1,8,1,123,15
DA Warner (AUS),2012-2017,15,14,0,636,124,45.42,656,96.95,2,3,0,63,11
E Chigumbura (ZIM),2010-2016,13,13,5,363,104*,45.37,422,86.01,1,1,2,35,3
AJ Finch (AUS),2013-2019,20,19,0,856,124,45.05,1001,85.51,2,6,0,88,18
KC Wessels (AUS/SA),1983-1993,21,20,2,805,107,44.72,1340,60.07,1,6,0,75,0
RL Powell (WI),1999-2005,12,11,2,402,124,44.66,367,109.53,1,1,0,28,22
HH Gibbs (SA),1996-2010,30,27,3,1064,116*,44.33,1284,82.86,2,5,0,131,13
SC Williams (WI),1994-1998,14,14,2,532,105*,44.33,833,63.86,1,3,1,60,4
CL Hooper (WI),1987-2002,45,42,13,1279,113*,44.10,1509,84.75,1,8,0,90,18
Inzamam-ul-Haq (PAK),1992-2006,67,64,9,2403,123,43.69,3059,78.55,4,12,2,208,35
Saeed Anwar (PAK),1989-2003,50,48,2,2002,194,43.52,2210,90.58,4,8,2,216,34
WJ Cronje (SA),1992-2000,34,31,10,909,90,43.28,1121,81.08,0,6,1,69,14
PN Kirsten (SA),1991-1992,11,11,2,389,86*,43.22,581,66.95,0,3,0,26,3
NJ Astle (NZ),1995-2005,29,29,1,1207,120,43.10,1520,79.40,5,5,3,119,9
IR Bell (ENG),2006-2015,31,31,4,1163,126*,43.07,1362,85.38,2,6,0,119,9
AJ Strauss (ENG),2004-2011,11,11,2,387,158,43.00,473,81.81,1,2,1,48,1
DM Jones (AUS),1985-1992,21,21,4,723,90,42.52,993,72.80,0,5,0,37,10
AR Border (AUS),1980-1992,38,35,9,1104,105*,42.46,1414,78.07,1,7,2,85,5
DL Haynes (WI),1979-1992,36,36,4,1357,152*,42.40,2111,64.28,2,9,1,91+,15+
Aamer Sohail (PAK),1991-1998,25,25,2,958,105,41.65,1376,69.62,1,7,1,80,9
LRPL Taylor (NZ),2009-2019,31,30,3,1117,112*,41.37,1368,81.65,2,6,1,100,11
A Symonds (AUS),1999-2008,36,31,5,1067,107*,41.03,1106,96.47,1,8,1,93,27
"
   By default, the shading indicates records from the past week, or failing that, the most recent entry.
  "
"
Adjust:
most recent
   | past week
   | past month
   | past 6 months
   | past year
   | 4 years
   | 10 years
   | 25 years
"
"
Records includes the following current or recent matches:
"
"
New Zealand v India at Wellington, 5th ODI, Feb 3, 2019
[ODI # 4092]
"
"
New Zealand v India at Hamilton, 4th ODI, Jan 31, 2019
[ODI # 4091]
"
"
New Zealand v India at Mount Maunganui, 3rd ODI, Jan 28, 2019
[ODI # 4088]
"
