Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 1,Australia,England,Australia,5 wickets,Melbourne,05-Jan-71
ODI # 2,England,Australia,England,6 wickets,Manchester,24-Aug-72
ODI # 3,England,Australia,Australia,5 wickets,Lord's,26-Aug-72
ODI # 4,England,Australia,England,2 wickets,Birmingham,28-Aug-72
ODI # 5,New Zealand,Pakistan,New Zealand,22 runs,Christchurch,11-Feb-73
ODI # 6,England,New Zealand,England,7 wickets,Swansea,18-Jul-73
ODI # 7,England,New Zealand,no result,,Manchester,20-Jul-73
ODI # 8,England,West Indies,England,1 wicket,Leeds,05-Sep-73
ODI # 9,England,West Indies,West Indies,8 wickets,The Oval,07-Sep-73
ODI # 10,New Zealand,Australia,Australia,7 wickets,Dunedin,30-Mar-74
ODI # 11,New Zealand,Australia,Australia,31 runs,Christchurch,31-Mar-74
ODI # 12,England,India,England,4 wickets,Leeds,13-Jul-74
ODI # 13,England,India,England,6 wickets,The Oval,"Jul 15-16, 1974"
ODI # 14,England,Pakistan,Pakistan,7 wickets,Nottingham,31-Aug-74
ODI # 15,England,Pakistan,Pakistan,8 wickets,Birmingham,03-Sep-74
ODI # 16,Australia,England,England,3 wickets,Melbourne,01-Jan-75
ODI # 17,New Zealand,England,no result,,Dunedin,08-Mar-75
ODI # 18,New Zealand,England,no result,,Wellington,09-Mar-75
ODI # 19,England,India,England,202 runs,Lord's,07-Jun-75
ODI # 20,East Africa,New Zealand,New Zealand,181 runs,Birmingham,07-Jun-75
ODI # 21,Australia,Pakistan,Australia,73 runs,Leeds,07-Jun-75
ODI # 22,Sri Lanka,West Indies,West Indies,9 wickets,Manchester,07-Jun-75
ODI # 23,England,New Zealand,England,80 runs,Nottingham,11-Jun-75
ODI # 24,East Africa,India,India,10 wickets,Leeds,11-Jun-75
ODI # 25,Australia,Sri Lanka,Australia,52 runs,The Oval,11-Jun-75
ODI # 26,Pakistan,West Indies,West Indies,1 wicket,Birmingham,11-Jun-75
ODI # 27,England,East Africa,England,196 runs,Birmingham,14-Jun-75
ODI # 28,India,New Zealand,New Zealand,4 wickets,Manchester,14-Jun-75
ODI # 29,Australia,West Indies,West Indies,7 wickets,The Oval,14-Jun-75
ODI # 30,Pakistan,Sri Lanka,Pakistan,192 runs,Nottingham,14-Jun-75
ODI # 31,England,Australia,Australia,4 wickets,Leeds,18-Jun-75
ODI # 32,New Zealand,West Indies,West Indies,5 wickets,The Oval,18-Jun-75
ODI # 33,Australia,West Indies,West Indies,17 runs,Lord's,21-Jun-75
ODI # 34,Australia,West Indies,Australia,5 wickets,Adelaide,20-Dec-75
ODI # 35,New Zealand,India,New Zealand,9 wickets,Christchurch,21-Feb-76
ODI # 36,New Zealand,India,New Zealand,80 runs,Auckland,22-Feb-76
ODI # 37,England,West Indies,West Indies,6 wickets,Scarborough,26-Aug-76
ODI # 38,England,West Indies,West Indies,36 runs,Lord's,"Aug 28-29, 1976"
ODI # 39,England,West Indies,West Indies,50 runs,Birmingham,"Aug 30-31, 1976"
ODI # 40,Pakistan,New Zealand,New Zealand,1 run,Sialkot,16-Oct-76
ODI # 41,West Indies,Pakistan,West Indies,4 wickets,Albion,16-Mar-77
ODI # 42,England,Australia,England,2 wickets,Manchester,02-Jun-77
ODI # 43,England,Australia,England,101 runs,Birmingham,04-Jun-77
ODI # 44,England,Australia,Australia,2 wickets,The Oval,06-Jun-77
ODI # 45,Pakistan,England,England,3 wickets,Sahiwal,23-Dec-77
ODI # 46,Pakistan,England,England,6 wickets,Sialkot,30-Dec-77
ODI # 47,Pakistan,England,Pakistan,36 runs,Lahore,13-Jan-78
ODI # 48,West Indies,Australia,West Indies,44 runs,St John's,22-Feb-78
ODI # 49,West Indies,Australia,Australia,2 wickets,Castries,12-Apr-78
ODI # 50,England,Pakistan,England,132 runs,Manchester,"May 24-25, 1978"
ODI # 51,England,Pakistan,England,94 runs,The Oval,26-May-78
ODI # 52,England,New Zealand,England,19 runs,Scarborough,15-Jul-78
ODI # 53,England,New Zealand,England,126 runs,Manchester,17-Jul-78
ODI # 54,Pakistan,India,India,4 runs,Quetta,01-Oct-78
ODI # 55,Pakistan,India,Pakistan,8 wickets,Sialkot,13-Oct-78
ODI # 56,Pakistan,India,Pakistan,,Sahiwal,03-Nov-78
ODI # 57,Australia,England,no result,,Sydney,13-Jan-79
ODI # 58,Australia,England,England,7 wickets,Melbourne,24-Jan-79
ODI # 59,Australia,England,Australia,4 wickets,Melbourne,04-Feb-79
ODI # 60,Australia,England,Australia,6 wickets,Melbourne,07-Feb-79
ODI # 61,India,West Indies,West Indies,9 wickets,Birmingham,09-Jun-79
ODI # 62,New Zealand,Sri Lanka,New Zealand,9 wickets,Nottingham,09-Jun-79
ODI # 63,England,Australia,England,6 wickets,Lord's,09-Jun-79
ODI # 64,Canada,Pakistan,Pakistan,8 wickets,Leeds,09-Jun-79
ODI # 65,India,New Zealand,New Zealand,8 wickets,Leeds,13-Jun-79
