Series/Tournament,Season,Winner,Margin
Prudential Trophy (India in England),1974,England,2-0 (2)
Prudential World Cup (in England),1975,West Indies,
India in New Zealand ODI Series,1975/76,New Zealand,2-0 (2)
India in Pakistan ODI Series,1978/79,Pakistan,2-1 (3)
Prudential World Cup (in England),1979,West Indies,
"Benson & Hedges World Series Cup (Australia, India, New Zealand in Australia)",1980/81,Australia,
India in New Zealand ODI Series,1980/81,New Zealand,2-0 (2)
England in India ODI Series,1981/82,India,2-1 (3)
Prudential Trophy (India in England),1982,England,2-0 (2)
Sri Lanka in India ODI Series,1982/83,India,3-0 (3)
India in Pakistan ODI Series,1982/83,Pakistan,3-1 (4)
India in West Indies ODI Series,1982/83,West Indies,2-1 (3)
Prudential World Cup (in England),1983,India,
Pakistan in India ODI Series,1983/84,India,2-0 (2)
West Indies in India ODI Series,1983/84,West Indies,5-0 (5)
"Rothmans Asia Cup (India, Pakistan, Sri Lanka in United Arab Emirates)",1983/84,India,
Australia in India ODI Series,1984/85,Australia,3-0 (5)
India in Pakistan ODI Series,1984/85,Pakistan,1-0 (2)
England in India ODI Series,1984/85,England,4-1 (5)
Benson & Hedges World Championship of Cricket (in Australia),1984/85,India,
"Rothmans Four-Nations Cup (Australia, England, India, Pakistan in United Arab Emirates)",1984/85,India,
India in Sri Lanka ODI Series,1985,drawn,1-1 (3)
"Rothmans Sharjah Cup (India, Pakistan, West Indies in United Arab Emirates)",1985/86,West Indies,
"Benson & Hedges World Series Cup (Australia, India, New Zealand in Australia)",1985/86,Australia,
"Austral-Asia Cup (Australia, India, New Zealand, Pakistan, Sri Lanka in United Arab Emirates)",1985/86,Pakistan,
Texaco Trophy (India in England),1986,India,1-1 (2)
Australia in India ODI Series,1986/87,India,3-2 (6)
"Champions Trophy (India, Pakistan, Sri Lanka, West Indies in United Arab Emirates)",1986/87,West Indies,
Sri Lanka in India ODI Series,1986/87,India,4-1 (5)
Pakistan in India ODI Series,1986/87,Pakistan,5-1 (6)
